,0
112,aardewerk
402,acaciahout
329,acajouhout
190,agaat
87,albast
279,albuminepapier
375,alkaliglazuur
265,aluminium
175,amalgaam
351,amboinahout
64,amethist
103,andesiet
324,atlas liseré
52,aventurienglas
202,baai (materiaal)
321,balein
9,bamboe
146,bandagaat
383,barnsteen
222,barokparel
252,been
288,beenderporselein
71,beits
233,berberishout
289,bergkristal
331,berkenhout
236,Berlijns zilver
281,beukenhout
32,biscuit
183,bister
209,blaas
117,bladgoud
2,bladzilver
249,blanc de Chine
215,blik
62,blindhout
314,bloedkoraal
330,bolletriehout
326,bolus
60,bombazijn
116,bont
122,bordpapier
365,brandstof
145,bristolkarton
130,brokaat
286,brons
98,bronspoeder
230,bronsverf
295,bruinharthout
38,buffelhoorn
356,buffelleer
359,buxushout
10,calqueerpapier
253,campêchehout
110,cantilledraad
303,carneool
239,cederhout
312,celadon
254,celluloid
349,cellulose acetaat
43,chalcedoon
147,chelas
124,chenille
382,chine collé
141,Chinees papier
292,chrysopraas
158,cipressenhout
14,citrien
208,citroenboomhout
91,collodium
7,coromandelhout
334,coromandellak
277,crêpe
8,crêpepapier
384,darm
404,dekverf
94,Delfts aardewerk
352,diamant
220,dierenhaar
41,djatihout
306,doek
135,dons
56,doorzichtig papier
105,drukinkt
152,dubbelweefsel
364,ebbenhout
194,edelsteen
247,ei
163,eigeel
385,eikenhout
198,elastiek
390,elzenhout
241,email
355,Engels aardewerk
88,esdoornhout
126,essenhout
155,faience
27,fineer
350,fluweel
346,fluweelband
28,fotopapier
298,fruithout
259,gaas
165,garen
1,geelkoper
366,geitenleer
229,geolied papier
293,geprepareerd linnen
246,geprepareerd papier
271,gietijzer
357,gips
42,git
234,glacéleer
67,glas (materiaal)
77,glas-in-lood
348,glazuur
328,gom
58,gouache
149,goud
106,goudbrokaat
80,gouddraad
392,gouderts
25,goudgalon
113,goudlak
221,goudleer
338,goudpapier
179,goudpoeder
337,goudverf
139,grafiet
18,granaat (mineraal)
195,grenenhout
342,grisailleverf
347,haaienvel
33,haar (materiaal)
308,haarvilt
189,halfzijde
114,hardboard
55,hardhout
304,hennep
218,hertenleer
83,hertshoorn
309,hoorn (materiaal)
213,hout
181,huid
315,hulsthout
63,iepenhout
280,ijzer
389,ijzerdraad
19,ijzererts
37,ijzerhout
272,ijzerrood
193,imitatieleer
23,inkt
232,ivoor
11,jade
49,Japans papier
128,jaspis
294,jeneverbessenhout
160,juchtleer
396,jute
81,kabbeshout
217,kalebas
299,kalfsleer
394,kalksteen
216,kant (materiaal)
199,kardoespapier
203,karton
398,kastoor
151,katoen
182,keperweefsel
211,keramiek
39,kersenhout
400,klei
260,knobbelhoorn
278,kobalt
251,kokosnoot
336,koningshout
24,koord
393,koper
343,koperdraad
84,koperpoeder
405,koraal
66,kornoeljehout
391,kraakporselein
95,krijt
305,kristal (loodglas)
245,kunststeen
74,kunststof
344,kurk
85,kwarts
256,kwarts-fritgoed
0,kwik
96,laiton
133,lak
201,laken (materiaal)
120,lamel
131,lampas
300,lapis lazuli
379,leem
225,leer
78,leisteen
231,letterhout
51,lijm
284,lindehout
176,linnen
187,lint
263,lood (materiaal)
65,lood-alkaliglazuur
16,loodglas
